Activity Level,Health Condition,Meal Type,Dish Name,Calories (in g),Protein (in g),Diet Type,Budget,BMI Goal
Moderately Active,Back Pain,Lunch,Fish Tikka Platter,300,15,Non-Veg,Low,Maintain BMI
Moderately Active,Back Pain,Lunch,Chickpea Spinach Curry,250,10,Veg,Low,Maintain BMI
Moderately Active,Back Pain,Lunch,Prawn Masala Curry,300,15,Non-Veg,Medium,Maintain BMI
Moderately Active,Back Pain,Lunch,Vegetable Couscous,250,10,Veg,Medium,Maintain BMI
Moderately Active,Constipation,Breakfast,Fish Tikka Platter,300,15,Non-Veg,High,Increase BMI
Moderately Active,Constipation,Breakfast,Grilled Vegetable Sandwich,250,10,Veg,High,Increase BMI
Moderately Active,Constipation,Breakfast,Egg and Cheese Muffin,300,15,Non-Veg,Low,Maintain BMI
Moderately Active,Constipation,Breakfast,Tofu Stir-Fry Bowl,250,10,Veg,Low,Maintain BMI
Moderately Active,Constipation,Breakfast,Turkey and Avocado Salad,300,15,Non-Veg,Medium,Maintain BMI
Moderately Active,Constipation,Breakfast,Quinoa Veg Pilaf,250,10,Veg,Medium,Maintain BMI
Moderately Active,Constipation,Dinner,Chicken Brown Rice Bowl,300,15,Non-Veg,High,Increase BMI
Moderately Active,Constipation,Dinner,Chickpea Spinach Curry,250,10,Veg,High,Increase BMI
Moderately Active,Constipation,Dinner,Prawn Masala Curry,300,15,Non-Veg,Low,Maintain BMI
Moderately Active,Constipation,Dinner,Vegetable Couscous,250,10,Veg,Low,Maintain BMI
Moderately Active,Constipation,Dinner,Turkey and Avocado Salad,300,15,Non-Veg,Medium,Maintain BMI
Moderately Active,Constipation,Dinner,Grilled Vegetable Sandwich,250,10,Veg,Medium,Maintain BMI
Moderately Active,Constipation,Lunch,Grilled Chicken Wrap,300,15,Non-Veg,High,Increase BMI
Moderately Active,Constipation,Lunch,Vegetable Couscous,250,10,Veg,High,Increase BMI
Moderately Active,Constipation,Lunch,Turkey and Avocado Salad,300,15,Non-Veg,Low,Maintain BMI
Moderately Active,Constipation,Lunch,Mushroom Paneer Wrap,250,10,Veg,Low,Maintain BMI
Moderately Active,Constipation,Lunch,Grilled Chicken Wrap,300,15,Non-Veg,Medium,Maintain BMI
Moderately Active,Constipation,Lunch,Chickpea Spinach Curry,250,10,Veg,Medium,Maintain BMI
Moderately Active,Diabetes,Breakfast,Fish Tikka Platter,300,15,Non-Veg,High,Increase BMI
oderately Active,Diabetes,Breakfast,Quinoa Veg Pilaf,250,10,Veg,High,Increase BMI
Moderately Active,Diabetes,Breakfast,Egg and Cheese Muffin,300,15,Non-Veg,Low,Maintain BMI
Moderately Active,Diabetes,Breakfast,Quinoa Veg Pilaf,250,10,Veg,Low,Maintain BMI
Moderately Active,Diabetes,Breakfast,Fish Tikka Platter,300,15,Non-Veg,Medium,Maintain BMI
Moderately Active,Diabetes,Breakfast,Mushroom Paneer Wrap,250,10,Veg,Medium,Maintain BMI
Moderately Active,Diabetes,Dinner,Prawn Masala Curry,300,15,Non-Veg,High,Increase BMI
Moderately Active,Diabetes,Dinner,Grilled Vegetable Sandwich,250,10,Veg,High,Increase BMI
Moderately Active,Diabetes,Dinner,Chicken Brown Rice Bowl,300,15,Non-Veg,Low,Maintain BMI
Moderately Active,Diabetes,Dinner,Quinoa Veg Pilaf,250,10,Veg,Low,Maintain BMI
Moderately Active,Diabetes,Dinner,Chicken Brown Rice Bowl,300,15,Non-Veg,Medium,Maintain BMI
Moderately Active,Diabetes,Dinner,Mushroom Paneer Wrap,250,10,Veg,Medium,Maintain BMI
Moderately Active,Diabetes,Lunch,Grilled Chicken Wrap,300,15,Non-Veg,High,Increase BMI
Moderately Active,Diabetes,Lunch,Chickpea Spinach Curry,250,10,Veg,High,Increase BMI
Moderately Active,Diabetes,Lunch,Turkey and Avocado Salad,300,15,Non-Veg,Low,Maintain BMI
Moderately Active,Diabetes,Lunch,Tofu Stir-Fry Bowl,250,10,Veg,Low,Maintain BMI
Moderately Active,Diabetes,Lunch,Fish Tikka Platter,300,15,Non-Veg,Medium,Maintain BMI
Moderately Active,Diabetes,Lunch,Mushroom Paneer Wrap,250,10,Veg,Medium,Maintain BMI
Moderately Active,Fine,Breakfast,Fish Tikka Platter,300,15,Non-Veg,High,Increase BMI
Moderately Active,Fine,Breakfast,Vegetable Couscous,250,10,Veg,High,Increase BMI
Moderately Active,Fine,Breakfast,Chicken Brown Rice Bowl,300,15,Non-Veg,Low,Maintain BMI
Moderately Active,Fine,Breakfast,Tofu Stir-Fry Bowl,250,10,Veg,Low,Maintain BMI
Moderately Active,Fine,Breakfast,Grilled Chicken Wrap,300,15,Non-Veg,Medium,Maintain BMI
Moderately Active,Fine,Breakfast,Grilled Vegetable Sandwich,250,10,Veg,Medium,Maintain BMI
Moderately Active,Fine,Dinner,Grilled Chicken Wrap,300,15,Non-Veg,High,Increase BMI
Moderately Active,Fine,Dinner,Vegetable Couscous,250,10,Veg,High,Increase BMI
Moderately Active,Fine,Dinner,Grilled Chicken Wrap,300,15,Non-Veg,Low,Maintain BMI
Moderately Active,Fine,Dinner,Mushroom Paneer Wrap,250,10,Veg,Low,Maintain BMI
Moderately Active,Fine,Dinner,Grilled Chicken Wrap,300,15,Non-Veg,Medium,Maintain BMI
Moderately Active,Fine,Dinner,Mushroom Paneer Wrap,250,10,Veg,Medium,Maintain BMI
Moderately Active,Fine,Lunch,Egg and Cheese Muffin,300,15,Non-Veg,High,Increase BMI
Moderately Active,Fine,Lunch,Chickpea Spinach Curry,250,10,Veg,High,Increase BMI
Moderately Active,Fine,Lunch,Prawn Masala Curry,300,15,Non-Veg,Low,Maintain BMI
Moderately Active,Fine,Lunch,Chickpea Spinach Curry,250,10,Veg,Low,Maintain BMI
Moderately Active,Fine,Lunch,Grilled Chicken Wrap,300,15,Non-Veg,Medium,Maintain BMI
Moderately Active,Fine,Lunch,Chickpea Spinach Curry,250,10,Veg,Medium,Maintain BMI
Moderately Active,High BP,Breakfast,Fish Tikka Platter,300,15,Non-Veg,High,Increase BMI
Moderately Active,High BP,Breakfast,Mushroom Paneer Wrap,250,10,Veg,High,Increase BMI
Moderately Active,High BP,Breakfast,Prawn Masala Curry,300,15,Non-Veg,Low,Maintain BMI
Moderately Active,High BP,Breakfast,Mushroom Paneer Wrap,250,10,Veg,Low,Maintain BMI
Moderately Active,High BP,Breakfast,Egg and Cheese Muffin,300,15,Non-Veg,Medium,Maintain BMI
Moderately Active,High BP,Breakfast,Grilled Vegetable Sandwich,250,10,Veg,Medium,Maintain BMI
Moderately Active,High BP,Dinner,Grilled Chicken Wrap,300,15,Non-Veg,High,Increase BMI
Moderately Active,High BP,Dinner,Mushroom Paneer Wrap,250,10,Veg,High,Increase BMI
Moderately Active,High BP,Dinner,Prawn Masala Curry,300,15,Non-Veg,Low,Maintain BMI
Moderately Active,High BP,Dinner,Tofu Stir-Fry Bowl,250,10,Veg,Low,Maintain BMI
Moderately Active,High BP,Dinner,Grilled Chicken Wrap,300,15,Non-Veg,Medium,Maintain BMI
Moderately Active,High BP,Dinner,Quinoa Veg Pilaf,250,10,Veg,Medium,Maintain BMI
Moderately Active,High BP,Lunch,Chicken Brown Rice Bowl,300,15,Non-Veg,High,Increase BMI
Moderately Active,High BP,Lunch,Mushroom Paneer Wrap,250,10,Veg,High,Increase BMI
Moderately Active,High BP,Lunch,Grilled Chicken Wrap,300,15,Non-Veg,Low,Maintain BMI
Moderately Active,High BP,Lunch,Grilled Vegetable Sandwich,250,10,Veg,Low,Maintain BMI
Moderately Active,High BP,Lunch,Prawn Masala Curry,300,15,Non-Veg,Medium,Maintain BMI
Moderately Active,High BP,Lunch,Vegetable Couscous,250,10,Veg,Medium,Maintain BMI
Moderately Active,Low BP,Breakfast,Chicken Brown Rice Bowl,300,15,Non-Veg,High,Increase BMI
Moderately Active,Low BP,Breakfast,Vegetable Couscous,250,10,Veg,High,Increase BMI
Moderately Active,Low BP,Breakfast,Egg and Cheese Muffin,300,15,Non-Veg,Low,Maintain BMI
Moderately Active,Low BP,Breakfast,Quinoa Veg Pilaf,250,10,Veg,Low,Maintain BMI
Moderately Active,Low BP,Breakfast,Grilled Chicken Wrap,300,15,Non-Veg,Medium,Maintain BMI
Moderately Active,Low BP,Breakfast,Mushroom Paneer Wrap,250,10,Veg,Medium,Maintain BMI
Moderately Active,Low BP,Dinner,Turkey and Avocado Salad,300,15,Non-Veg,High,Increase BMI
Moderately Active,Low BP,Dinner,Grilled Vegetable Sandwich,250,10,Veg,High,Increase BMI
Moderately Active,Low BP,Dinner,Grilled Chicken Wrap,300,15,Non-Veg,Low,Maintain BMI
Moderately Active,Low BP,Dinner,Tofu Stir-Fry Bowl,250,10,Veg,Low,Maintain BMI
Moderately Active,Low BP,Dinner,Fish Tikka Platter,300,15,Non-Veg,Medium,Maintain BMI
Moderately Active,Low BP,Dinner,Quinoa Veg Pilaf,250,10,Veg,Medium,Maintain BMI
Moderately Active,Low BP,Lunch,Turkey and Avocado Salad,300,15,Non-Veg,High,Increase BMI
Moderately Active,Low BP,Lunch,Chickpea Spinach Curry,250,10,Veg,High,Increase BMI
Moderately Active,Low BP,Lunch,Turkey and Avocado Salad,300,15,Non-Veg,Low,Maintain BMI
Moderately Active,Low BP,Lunch,Grilled Vegetable Sandwich,250,10,Veg,Low,Maintain BMI
Moderately Active,Low BP,Lunch,Egg and Cheese Muffin,300,15,Non-Veg,Medium,Maintain BMI
Moderately Active,Low BP,Lunch,Chickpea Spinach Curry,250,10,Veg,Medium,Maintain BMI
Moderately Active,Migraine,Breakfast,Prawn Masala Curry,300,15,Non-Veg,High,Increase BMI
Moderately Active,Migraine,Breakfast,Grilled Vegetable Sandwich,250,10,Veg,High,Increase BMI
Moderately Active,Migraine,Breakfast,Chicken Brown Rice Bowl,300,15,Non-Veg,Low,Maintain BMI
Moderately Active,Migraine,Breakfast,Tofu Stir-Fry Bowl,250,10,Veg,Low,Maintain BMI
Moderately Active,Migraine,Breakfast,Fish Tikka Platter,300,15,Non-Veg,Medium,Maintain BMI
Moderately Active,Migraine,Breakfast,Vegetable Couscous,250,10,Veg,Medium,Maintain BMI
Moderately Active,Migraine,Dinner,Fish Tikka Platter,300,15,Non-Veg,High,Increase BMI
Moderately Active,Migraine,Dinner,Tofu Stir-Fry Bowl,250,10,Veg,High,Increase BMI
Moderately Active,Migraine,Dinner,Grilled Chicken Wrap,300,15,Non-Veg,Low,Maintain BMI
Moderately Active,Migraine,Dinner,Chickpea Spinach Curry,250,10,Veg,Low,Maintain BMI
Moderately Active,Migraine,Dinner,Turkey and Avocado Salad,300,15,Non-Veg,Medium,Maintain BMI
Moderately Active,Migraine,Dinner,Mushroom Paneer Wrap,250,10,Veg,Medium,Maintain BMI
Moderately Active,Migraine,Lunch,Egg and Cheese Muffin,300,15,Non-Veg,High,Increase BMI
Moderately Active,Migraine,Lunch,Chickpea Spinach Curry,250,10,Veg,High,Increase BMI
Moderately Active,Migraine,Lunch,Turkey and Avocado Salad,300,15,Non-Veg,Low,Maintain BMI
Moderately Active,Migraine,Lunch,Grilled Vegetable Sandwich,250,10,Veg,Low,Maintain BMI
Moderately Active,Migraine,Lunch,Chicken Brown Rice Bowl,300,15,Non-Veg,Medium,Maintain BMI
Moderately Active,Migraine,Lunch,Tofu Stir-Fry Bowl,250,10,Veg,Medium,Maintain BMI
